method,depth,context_size,average_precision_mean_candidate,physical_mean_relative_residual_mean_candidate,physical_covariance_relative_residual_mean_candidate,average_precision_mean_cg,physical_mean_relative_residual_mean_cg,physical_covariance_relative_residual_mean_cg,physical_mean_residual_gain,physical_covariance_residual_gain,average_precision_delta,runtime_ratio
hybrid-PCG,1,12,0.6264551723516781,3.550924226641655,0.4410359850596814,0.6971703420236972,1.6084292868063563,0.3970635515593347,0.45296074603302783,0.9002974020489591,-0.07071516967201907,1.3547012960571454
hybrid-PCG,2,12,0.7386891270654244,3.05800114713964,0.27135092844920494,0.7330107950906287,1.9224003972042174,0.23105323172750922,0.6286460680377348,0.8514923204722361,0.005678331974795725,1.3338130897266964
hybrid-PCG,4,12,0.748754382615199,2.1212030109905062,0.12999313067467436,0.7521153465529613,1.7195449773044813,0.12077798513651244,0.810646113735965,0.9291105192225574,-0.003360963937762307,1.2786730013988763
hybrid-PCG,8,12,0.7355822557690702,1.0597492527394068,0.04730993777602197,0.7374385405804736,1.0704815311446076,0.05547512738987622,1.0101271865749926,1.1725893120492032,-0.0018562848114034303,1.2105870009179815
hybrid-PCG,16,12,0.738456331320555,0.06069295690407387,0.002882551756455482,0.7384973011442539,0.12283549542026079,0.003491079494251583,2.0238838521972844,1.2111073067233924,-4.09698236989442e-05,1.1872979863920223
hybrid-PCG,32,12,0.738233445184776,5.4097406551323965e-05,1.652418979636834e-06,0.7382337680423819,4.550562243820628e-05,1.4899023962503373e-06,0.8411793714183622,0.9016492878687375,-3.228576059832733e-07,1.1207226378010604
hybrid-PCG,48,12,0.738233445184776,5.373531482853823e-05,1.635629687817592e-06,0.7382337680423818,4.925028992731502e-05,1.7321264020135156e-06,0.9165348725408181,1.0589966756623734,-3.22857605872251e-07,1.161491233516161
hybrid-PCG,64,12,0.738233445184776,5.373157776353074e-05,1.6987853025660742e-06,0.7382337680423818,4.96538974738507e-05,2.1417262849982286e-06,0.9241101702312623,1.2607398249579136,-3.22857605872251e-07,1.1417108953176913
hybrid-PCG,96,12,0.738233445184776,5.373178481974532e-05,1.8479600808315614e-06,0.7382337680423818,4.9764025599560584e-05,3.3652777424836564e-06,0.9261561991008594,1.8210770770380056,-3.22857605872251e-07,1.0978016203774428
hybrid-PCG,128,12,0.738233445184776,5.3731749771716804e-05,1.8862006600426997e-06,0.7382337680423818,4.97747347237306e-05,4.976339891440841e-06,0.9263561104040373,2.638287641850463,-3.22857605872251e-07,1.1021456927693747
hybrid-PCG,1,16,0.6284658281888993,4.175519646633239,0.4858463257551193,0.7084582380671263,1.7144784054585867,0.39767290598579813,0.41060240414411336,0.8185158246647662,-0.07999240987822698,1.356050168231025
hybrid-PCG,2,16,0.7362150251953132,3.692942513596444,0.29551194129245617,0.7462457553042112,2.212238895751181,0.23874181491278462,0.5990450399935279,0.8078922762600362,-0.01003073010889799,1.3304175794124664
hybrid-PCG,4,16,0.7454056020955968,2.3861390260003863,0.15031365917197292,0.7647178558864735,2.055151616888387,0.14318915386684233,0.8612874583142811,0.9526024092263,-0.019312253790876643,1.2777000759394184
hybrid-PCG,8,16,0.7461482037987454,1.3401461378449486,0.06146334164908949,0.7495860851165995,1.415180822745675,0.0796726158420954,1.0559899273532867,1.296262352557521,-0.0034378813178541634,1.2187720818414618
hybrid-PCG,16,16,0.7481269732471144,0.4103526681345621,0.015340137578840764,0.7457908774804082,0.4742786091796699,0.024994536415241346,1.1557829301700686,1.6293554270150263,0.0023360957667062365,1.1999184095578768
