seed,method,network_width,parameter_count,context_size,context_measurements,depth,batch_size,inference_ms,peak_memory_mib,matvec_proxy
43,looped-Richardson,32,31171,8,64,32,8,4.907470897887833,549.68896484375,1622016
43,looped-Richardson,32,31171,12,144,32,8,5.0882746494608,551.65771484375,3667968
43,looped-Richardson,32,31171,16,256,32,8,5.122322650277056,553.6474609375,6553600
43,looped-Richardson,32,31171,24,576,32,8,5.473128502489999,558.47412109375,14893056
43,looped-Richardson,32,31171,32,1024,32,8,5.826589351636358,562.7939453125,26738688
43,looped-Richardson,32,31171,48,2304,32,8,10.224502597702667,570.4912109375,61341696
17,looped-Richardson,512,990211,8,64,32,8,5.149192150565796,565.53271484375,1622016
17,looped-Richardson,512,990211,12,144,32,8,5.236376699758694,567.50146484375,3667968
17,looped-Richardson,512,990211,16,256,32,8,5.330472599598579,569.4912109375,6553600
17,looped-Richardson,512,990211,24,576,32,8,5.676411199965514,574.14208984375,14893056
17,looped-Richardson,512,990211,32,1024,32,8,5.980974299018271,577.7939453125,26738688
17,looped-Richardson,512,990211,48,2304,32,8,10.44432430062443,586.4599609375,61341696
29,looped-Richardson,512,990211,8,64,32,8,5.076099297730252,570.970703125,1622016
29,looped-Richardson,512,990211,12,144,32,8,5.215660348767415,572.939453125,3667968
29,looped-Richardson,512,990211,16,256,32,8,5.301820900058374,574.92919921875,6553600
29,looped-Richardson,512,990211,24,576,32,8,5.6620885006850585,579.259765625,14893056
29,looped-Richardson,512,990211,32,1024,32,8,5.980847901082598,584.59130859375,26738688
29,looped-Richardson,512,990211,48,2304,32,8,10.19638584984932,591.98388671875,61341696
43,looped-Richardson,512,990211,8,64,32,8,4.918016798910685,564.99365234375,1622016
43,looped-Richardson,512,990211,12,144,32,8,5.017897349898703,566.96240234375,3667968
43,looped-Richardson,512,990211,16,256,32,8,5.081140648690052,568.9521484375,6553600
43,looped-Richardson,512,990211,24,576,32,8,5.4191078001167625,573.60302734375,14893056
43,looped-Richardson,512,990211,32,1024,32,8,5.758081449312158,577.1923828125,26738688
43,looped-Richardson,512,990211,48,2304,32,8,10.151415300788358,586.7177734375,61341696
17,population-PCG,32,31171,8,64,32,8,7.207221450516954,190.0556640625,1622016
17,population-PCG,32,31171,12,144,32,8,7.344844649196602,192.0341796875,3667968
17,population-PCG,32,31171,16,256,32,8,7.403214147780091,194.03759765625,6553600
17,population-PCG,32,31171,24,576,32,8,7.679567550076172,199.2216796875,14893056
17,population-PCG,32,31171,32,1024,32,8,7.762436199118383,204.1240234375,26738688
17,population-PCG,32,31171,48,2304,32,8,12.302592198830098,212.05810546875,61341696
17,context-PCG,32,34564,8,64,32,8,7.768624948221259,190.08935546875,1622016
17,context-PCG,32,34564,12,144,32,8,7.942655749502592,192.07177734375,3667968
17,context-PCG,32,34564,16,256,32,8,7.993780300603248,194.08154296875,6553600
17,context-PCG,32,34564,24,576,32,8,8.309982001082972,199.283203125,14893056
17,context-PCG,32,34564,32,1024,32,8,8.795689599355683,204.20947265625,26738688
17,context-PCG,32,34564,48,2304,32,8,13.771603451459669,212.21240234375,61341696
17,population-PCG,64,66435,8,64,32,8,7.040454147499986,190.3232421875,1622016
17,population-PCG,64,66435,12,144,32,8,7.181531950482167,192.3017578125,3667968
17,population-PCG,64,66435,16,256,32,8,7.290008448762819,194.30517578125,6553600
17,population-PCG,64,66435,24,576,32,8,7.530043501174077,199.4892578125,14893056
17,population-PCG,64,66435,32,1024,32,8,7.836637849686667,204.3916015625,26738688
